article_id,PMID,RoB_ROBIS,AMSTAR_consensus,AMSTAR_levels,amstar_robis,PEA1,PEA2,PEA3,PEA4,PEA5,PEA6,PEA7,PEA8,PEA9,PEA10,PEA11,PEA12,total_score,number_of_cites_Google_Scholar,journal,year,Country,num_authors,num_institutions,funding,cochrane_affiliation,funding_academic,funding_industry,funding_non_pharma_companies,conflict_of_interest,conflict_of_interest_authors,countries_authors,page_count,log_page_count,class_of_study,metaanalysis_included,economic_analysis_included,journal_PRISMA_endorsement,abstract_format,abstract_word_count,journal,year,Total cites,journal_impact_factor,Impact factor without,5 year Impact factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-Life,Eigenfacto Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,Average JIF Percentile,Q/D
140,23223420,HIGH,6,moderate_quality,HighRisk_HighQuality,1,1,0,1,0,1,1,1,0,1,0,0,7,177,Annals of the Rheumatic Diseases,2013,United Kingdom,3,4,funding,no,1,0,0,0,0,1,10,3.32,,Yes,No,no,IMRAD ,215,Annals of the Rheumatic Diseases,2013,29337,9.27,8.136,8.632,3.291,309,5.6,5.7,0.074,2.655,92.56,8.15581,95,D1
176,23354931,HIGH,8,moderate_quality,HighRisk_HighQuality,1,1,1,1,1,1,0,1,1,1,0,0,9,18,Archives of Dermatological Research,2013,Germany,5,2,funding,no,1,0,1,0,0,2,11,3.46,RCTs,Yes,No,no,free,236,Archives of Dermatological Research,2013,2925,2.27,1.957,2.269,0.4,110,8.6,7.4,0.00438,0.574,91.82,0.48259,74.59,Q2
197,22843024,HIGH,5,moderate_quality,HighRisk_HighQuality,1,1,0,0,0,1,1,1,0,1,0,0,6,12,Archives of Dermatological Research,2012,Germany,6,2,UNK,no,0,0,0,0,0,1,11,3.46,RCTs,Yes,No,no,free,239,Archives of Dermatological Research,2012,2853,2.708,2.5,2.363,0.375,104,8.9,8,0.00503,0.653,95.19,NA,80.508,Q1
194,23069736,HIGH,9,high_quality,HighRisk_HighQuality,0,1,1,1,0,0,1,1,0,1,0,0,6,34,Archives of Dermatology,2012,United States,3,3,funding,no,1,0,0,1,33,1,8,3,RCTs,Yes,No,no,IMRAD ,304,Archives of Dermatology,2012,12875,4.792,4.428,4.64,0.836,128,>10,7.3,0.01884,1.644,95.31,NA,94.068,D1
214,22184718,HIGH,9,high_quality,HighRisk_HighQuality,1,1,1,1,0,0,0,1,0,1,0,0,6,29,Archives of Dermatology,2012,United States,5,5,UNK,no,0,0,0,1,20,1,12,3.58,RCTs,Yes,No,no,IMRAD ,258,Archives of Dermatology,2012,12875,4.792,4.428,4.64,0.836,128,>10,7.3,0.01884,1.644,95.31,NA,94.068,D1
291,10411159,HIGH,5,moderate_quality,HighRisk_HighQuality,0,1,0,1,0,1,0,1,0,1,0,0,5,70,Archives of Dermatology,1999,United States,4,3,funding,no,1,0,0,,NA,1,7,2.81,observational studies,No,No,no,IMRAD ,284,Archives of Dermatology,1999,12875,4.792,4.428,4.64,0.836,128,>10,7.3,0.01884,1.644,95.31,NA,94.068,D1
311,26663412,HIGH,9,high_quality,HighRisk_HighQuality,1,1,1,0,0,1,0,1,0,1,0,0,6,0,Arthritis care & research,2016,USA,10,6,No funding,no,0,0,0,1,0,3,11,3.46,RCTSs & observational studies,Yes,No,no,IMRAD ,248,Arthritis care & research,2016,12091,3.229,3.055,4.641,0.635,208,6.3,7.7,0.02899,1.593,97.6,3.30389,64.063,Q2
308,27885553,HIGH,6,moderate_quality,HighRisk_HighQuality,1,1,0,1,1,1,0,1,0,1,0,0,7,3,BioDrugs,2016,USA,4,2,funding,no,0,1,1,4,100,2,46,5.52,RCTs,No,No,no,IMRAD ,290,BioDrugs,2016,12091,3.229,3.055,4.641,0.635,208,6.3,7.7,0.02899,1.593,97.6,3.30389,64.063,Q2
225,21453459,HIGH,5,moderate_quality,HighRisk_HighQuality,1,1,1,1,1,1,0,1,0,1,0,0,8,33,BMC medical research methodology,2011,United Kingdom,4,3,funding,no,0,1,0,3,75,1,12,3.58,observational studies,No,No,yes,IMRAD ,302,BMC medical research methodology,2011,,3.059,,,,,,,,,,,,
58,25770113,LOW,7,moderate_quality,LowRisk_HighQuality,1,1,1,1,0,1,1,1,0,1,0,0,8,14,BMJ (Online),2015,United Kingdom,5,3,No funding,no,0,0,0,0,0,1,5,2.32,RCTs,Yes,No,yes,IMRAD ,231,BMJ (Online),2015,93118,19.697,18.248,17.687,9.288,250,">10,0",4.7,0.16204,7.43,71.2,18.46,97.742,D1
267,19445765,HIGH,7,moderate_quality,HighRisk_HighQuality,0,1,1,1,1,1,0,0,0,0,0,0,5,19,BMJ clinical evidence,2009,United Kingdom,2,1,UNK,no,0,0,0,2,100,1,109,6.77,RCTs & observational studies,No,No,yes,IMRAD ,305,BMJ clinical evidence,2009,,NA,,,,,,,,,,,,
305,27273146,HIGH,7,moderate_quality,HighRisk_HighQuality,1,1,0,1,1,1,0,1,0,1,0,0,7,4,British Journal of Dermatology,2017,United Kingdom,7,4,No funding,no,0,0,0,10,100,2,17,4.09,,No,No,no,free,247,British Journal of Dermatology,2017,,NA,,,,,,,,,,,,
6,26833102,HIGH,8,moderate_quality,HighRisk_HighQuality,1,1,1,0,0,1,1,1,1,1,0,0,8,4,British Journal of Dermatology,2016,United Kingdom,3,2,funding,no,1,0,0,0,0,1,14,3.81,observational studies,Yes,No,no,free,248,British Journal of Dermatology,2016,22215,4.317,3.744,4302,1726,310,8.4,7,0.03553,1.356,85.16,4.09967,92.623,D1
318,27292159,HIGH,9,high_quality,HighRisk_HighQuality,1,1,0,0,1,1,1,1,0,1,0,1,8,2,British Journal of Dermatology,2016,Spain,6,2,funding,no,1,0,0,4,66,1,10,3.32,RCTs,Yes,No,no,free,222,British Journal of Dermatology,2016,22215,4.317,3.744,4302,1726,310,8.4,7,0.03553,1.356,85.16,4.09967,92.623,D1
48,27087044,LOW,10,high_quality,LowRisk_HighQuality,1,1,1,1,0,1,1,1,1,1,0,0,9,0,British Journal of Dermatology,2015,United Kingdom,7,4,funding,no,1,0,1,1,14,2,17,4.09,RCTs,Yes,No,no,free,240,British Journal of Dermatology,2015,22215,4.317,3.744,4.302,1.726,310,8.4,7,0.03553,1.356,85.16,4.04967,92.623,D1
62,25288183,HIGH,5,moderate_quality,HighRisk_HighQuality,1,1,0,0,0,1,1,1,0,1,0,0,6,10,British Journal of Dermatology,2015,United Kingdom,7,4,funding,no,0,1,0,7,100,2,9,3.17,RCTs,Yes,No,no,IMRAD ,251,British Journal of Dermatology,2015,22215,4.317,3.744,4.302,1.726,310,8.4,7,0.03553,1.356,85.16,4.04967,92.623,D1
66,26280365,HIGH,9,high_quality,HighRisk_HighQuality,1,1,1,0,0,0,1,1,0,1,0,0,6,2,British Journal of Dermatology,2015,United Kingdom,3,1,funding,no,0,1,0,1,33,1,12,3.58,RCTs & observational studies,No,No,no,free,265,British Journal of Dermatology,2015,22215,4.317,3.744,4.302,1.726,310,8.4,7,0.03553,1.356,85.16,4.04967,92.623,D1
106,24131260,LOW,6,moderate_quality,LowRisk_HighQuality,1,1,0,0,0,1,1,1,0,1,0,0,6,61,British Journal of Dermatology,2014,United Kingdom,6,3,No funding,no,0,0,0,4,66,1,30,4.91,RCTs,Yes,No,no,free,255,British Journal of Dermatology,2014,20484,4.275,3.834,3.984,1.065,339,8.3,7.1,0.03247,1.169,85.55,3.6369,91.27,D1
109,24117166,HIGH,6,moderate_quality,HighRisk_HighQuality,1,1,1,1,0,1,1,1,0,1,0,0,8,54,British Journal of Dermatology,2014,United Kingdom,3,1,No funding,no,0,0,0,1,33,1,13,3.7,RCTs & observational studies,No,No,no,free,251,British Journal of Dermatology,2014,20484,4.275,3.834,3.984,1.065,339,8.3,7.1,0.03247,1.169,85.55,3.6369,91.27,D1
120,24606161,HIGH,10,high_quality,HighRisk_HighQuality,1,1,1,1,1,1,1,1,1,1,0,0,10,15,British Journal of Dermatology,2014,United Kingdom,6,5,funding,no,1,0,0,0,0,1,13,3.7,observational studies,No,No,no,free,255,British Journal of Dermatology,2014,20484,4.275,3.834,3.984,1.065,339,8.3,7.1,0.03247,1.169,85.55,3.6369,91.27,D1
148,23909714,HIGH,8,moderate_quality,HighRisk_HighQuality,1,1,1,1,1,1,1,1,1,1,0,0,10,16,British Journal of Dermatology,2013,United Kingdom,5,2,funding,no,1,0,0,0,0,2,14,3.81,RCTs,Yes,No,no,free,264,British Journal of Dermatology,2013,20604,4.1,3.605,4.137,1.308,341,8.1,6.6,0.03434,1.186,85.92,3.78498,89.344,Q1
171,23413913,HIGH,7,moderate_quality,HighRisk_HighQuality,1,1,0,0,0,1,0,1,1,1,0,0,6,35,British Journal of Dermatology,2013,United Kingdom,5,4,funding,no,1,0,0,0,0,1,14,3.81,,Yes,No,no,free,280,British Journal of Dermatology,2013,20604,4.1,3.605,4.137,1.308,341,8.1,6.6,0.03434,1.186,85.92,3.78498,89.344,Q1
188,22963128,HIGH,5,moderate_quality,HighRisk_HighQuality,1,1,0,1,0,1,0,1,0,1,0,0,6,50,British Journal of Dermatology,2013,United Kingdom,5,2,funding,no,0,0,1,0,0,1,12,3.58,RCTs & observational studies,No,No,no,free,226,British Journal of Dermatology,2013,20604,4.1,3.605,4.137,1.308,341,8.1,6.6,0.03434,1.186,85.92,3.78498,89.344,Q1
302,23796133,HIGH,8,moderate_quality,HighRisk_HighQuality,1,1,0,1,0,1,0,1,0,1,0,0,6,13,British Journal of Dermatology,2013,United Kingdom,5,4,funding,no,0,1,0,1,20,1,9,3.17,RCTs,Yes,No,no,IMRAD ,238,British Journal of Dermatology,2013,20604,4.1,3.605,4.137,1.308,341,8.1,6.6,0.03434,1.186,85.92,3.78498,89.344,Q1
217,21910698,HIGH,7,moderate_quality,HighRisk_HighQuality,1,1,0,0,1,1,1,1,0,1,0,0,7,124,British Journal of Dermatology,2012,United Kingdom,4,3,funding,no,0,1,0,4,100,2,10,3.32,RCTs,Yes,No,no,IMRAD ,348,British Journal of Dermatology,2012,19868,3.759,3.287,4.162,1.195,354,8,6.7,0.03964,1.307,87.29,NA,92.373,Q1
266,18945303,HIGH,6,moderate_quality,HighRisk_HighQuality,1,1,1,1,0,1,1,1,0,1,0,0,8,95,British Journal of Dermatology,2009,United Kingdom,2,1,UNK,no,0,0,0,0,0,1,7,2.81,RCTs & Srs,Yes,No,no,IMRAD ,335,British Journal of Dermatology,2009,17207,4.26,3.621,3.955,0.727,373,7.4,6.6,0.03732,1.044,92.49,NA,92.708,D1
268,18627372,HIGH,6,moderate_quality,HighRisk_HighQuality,1,1,0,1,0,1,1,1,0,1,0,0,7,171,British Journal of Dermatology,2008,United Kingdom,5,2,No funding,no,0,0,0,3,60,1,14,3.81,RCTs,Yes,No,no,IMRAD ,280,British Journal of Dermatology,2008,16437,3.489,3.063,3.64,0.761,330,7.6,6.9,0.03615,0.932,93.94,NA,91.86,D1
269,18547300,HIGH,6,moderate_quality,HighRisk_HighQuality,1,1,1,0,0,1,1,1,0,1,0,0,7,141,British Journal of Dermatology,2008,United Kingdom,5,4,UNK,no,0,0,0,1,20,1,12,3.58,RCTs,Yes,No,no,IMRAD ,347,British Journal of Dermatology,2008,16437,3.489,3.063,3.64,0.761,330,7.6,6.9,0.03615,0.932,93.94,NA,91.86,D1
284,12100194,HIGH,6,moderate_quality,HighRisk_HighQuality,1,1,1,0,0,1,1,1,0,1,0,0,7,30,British Journal of Dermatology,2002,United Kingdom,6,5,UNK,no,0,0,0,,NA,1,8,3,,No,No,no,IMRAD ,328,British Journal of Dermatology,2002,11364,2.696,2.379,NA,0.536,360,6.8,7,NA,NA,96.11,NA,93.75,NA
285,11952534,HIGH,7,moderate_quality,HighRisk_HighQuality,1,1,1,1,0,1,1,1,0,1,0,0,8,166,British Journal of Dermatology,2002,United Kingdom,3,3,UNK,no,0,0,0,,NA,1,14,3.81,RCTs,Yes,No,no,IMRAD ,331,British Journal of Dermatology,2002,11364,2.696,2.379,NA,0.536,360,6.8,7,NA,NA,96.11,NA,93.75,NA
286,11899141,HIGH,2,low_quality,HighRisk_LowQuality,1,1,0,1,0,1,0,1,0,1,0,0,6,32,British Journal of Dermatology,2001,United Kingdom,4,1,funding,no,0,1,0,1,25,1,4,2,RCTs,No,No,no,IMRAD ,239,British Journal of Dermatology,2001,11287,2.405,2.027,NA,0.49,349,6.9,7.1,NA,NA,96.85,NA,88.158,NA
287,11899140,HIGH,3,low_quality,HighRisk_LowQuality,1,1,1,1,0,1,0,1,0,1,0,0,7,91,British Journal of Dermatology,2001,United Kingdom,4,1,funding,no,0,1,0,1,25,1,5,2.32,RCTs,No,No,no,IMRAD ,250,British Journal of Dermatology,2001,11287,2.405,2.027,NA,0.49,349,6.9,7.1,NA,NA,96.85,NA,88.158,NA
288,11115167,HIGH,6,moderate_quality,HighRisk_HighQuality,0,1,0,0,0,1,1,1,0,1,0,0,5,47,British Journal of Dermatology,2001,United Kingdom,4,4,funding,no,0,1,0,4,100,1,8,3,RCTs,Yes,No,no,IMRAD ,420,British Journal of Dermatology,2001,11287,2.405,2.027,NA,0.49,349,6.9,7.1,NA,NA,96.85,NA,88.158,NA
294,9470912,HIGH,5,moderate_quality,HighRisk_HighQuality,1,1,0,1,0,1,0,1,0,1,0,0,6,137,British Journal of Dermatology,1997,United Kingdom,4,1,UNK,no,0,0,0,,NA,1,8,3,RCTs & observational studies,No,No,no,free,222,British Journal of Dermatology,1997,8535,1.838,1.564,NA,0.216,315,7.6,6.9,NA,NA,97.14,NA,85.938,NA
290,10753146,HIGH,7,moderate_quality,HighRisk_HighQuality,1,1,0,0,0,1,1,1,0,1,0,0,6,132,British Medical Journal,2000,United Kingdom,4,3,funding,no,0,1,0,3,75,1,5,2.32,RCTs,Yes,No,yes,8-headings,309,British Medical Journal,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,25402246,HIGH,8,moderate_quality,HighRisk_HighQuality,1,0,0,0,0,1,0,1,0,1,0,0,4,2,Cadernos de saude publica,2013,Brazil,8,1,UNK,no,0,0,0,0,0,1,15,3.91,RCTs,Yes,No,no,free,169,Cadernos de saude publica,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,22466949,HIGH,5,moderate_quality,HighRisk_HighQuality,1,1,1,1,1,1,1,1,0,1,0,0,9,15,CHINESE JOURNAL OF INTEGRATIVE MEDICINE�,2012,China,5,3,funding,no,1,0,0,,0,1,8,3,RCTs,Yes,No,no,IMRAD ,280,CHINESE JOURNAL OF INTEGRATIVE MEDICINE�,2012,514,1.059,0.95,1.032,0.168,131,3,7.3,0.00102,0.143,88.55,NA,43.182,Q3
44,26413149,LOW,7,moderate_quality,LowRisk_HighQuality,1,1,0,1,1,1,1,1,0,1,0,0,8,1,Chinese Medicine (United Kingdom),2015,United Kingdom,8,5,funding,no,1,0,0,0,0,1,14,3.81,RCTs,Yes,No,yes,IMRAD ,340,Chinese Medicine (United Kingdom),2015,546,1.58,1.52,NA,0.184,38,4.9,7,0.00134,NA,84.21,0.15279,440.32,Q2
111,25039593,HIGH,9,high_quality,HighRisk_HighQuality,1,1,0,0,1,1,1,1,0,1,0,0,7,10,Clinical and Experimental Dermatology,2014,United Kingdom,9,3,funding,no,1,0,0,0,0,1,16,4,RCTs,Yes,No,no,IMRAD ,319,Clinical and Experimental Dermatology,2014,3930,1.234,1.195,1.337,0.202,173,8.2,8.6,0.00716,0.389,94.22,0.78876,33.607,Q3
3,27300248,LOW,8,moderate_quality,LowRisk_HighQuality,1,1,1,1,0,0,1,1,0,1,0,0,7,0,Clinical Reviews in Allergy and Immunology,2016,United States,4,3,funding,no,1,0,0,0,0,1,8,3,RCTs,Yes,No,no,free,273,Clinical Reviews in Allergy and Immunology,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,26915340,LOW,11,high_quality,LowRisk_HighQuality,0,1,1,1,1,1,1,1,0,1,0,0,8,2,Cochrane Database of Systematic Reviews,2016,United Kingdom,7,4,funding,yes,1,0,0,6,85,3,260,8.02,RCTs,Yes,No,yes,8-headings,989,Cochrane Database of Systematic Reviews,2016,47899,6.103,5.748,6.665,0.94,755,4.8,10,0.15836,2.46,0.13,18.05,92.581,D1
321,26598969,LOW,11,high_quality,LowRisk_HighQuality,1,0,1,1,1,1,1,1,1,1,0,0,8,7,Cochrane Database of Systematic Reviews,2016,United Kingdom,5,6,No funding,yes,0,0,0,0,0,2,37,5.21,RCTs,No,No,no,8-headings,780,Cochrane Database of Systematic Reviews,2016,47899,6.103,5.748,6.665,0.94,755,4.8,10,0.15836,2.46,0.13,18.05,92.581,D1
323,10796842,LOW,7,moderate_quality,LowRisk_HighQuality,1,0,1,1,1,0,1,0,1,1,0,0,6,69,Cochrane Database of Systematic Reviews,2015,United Kingdom,4,3,No funding,yes,0,0,0,0,0,1,13,3.7,RCTs,No,No,yes,8-headings,353,Cochrane Database of Systematic Reviews,2015,,6.013,,,,,,,,,,,,
324,26258748,LOW,11,high_quality,LowRisk_HighQuality,1,0,1,1,1,1,1,1,1,1,0,0,8,13,Cochrane Database of Systematic Reviews,2015,United Kingdom,6,4,funding,yes,1,0,0,1,16,1,65,6.02,RCTs,No,No,yes,8-headings,836,Cochrane Database of Systematic Reviews,2015,,6.013,,,,,,,,,,,,
325,10796758,HIGH,9,high_quality,HighRisk_HighQuality,1,0,1,1,1,0,1,1,1,1,0,0,8,20,Cochrane Database of Systematic Reviews,2015,United Kingdom,4,3,No funding,yes,0,0,0,0,0,1,13,3.7,RCTs,No,No,yes,8-headings,274,Cochrane Database of Systematic Reviews,2015,,6.013,,,,,,,,,,,,
164,23543539,LOW,10,high_quality,LowRisk_HighQuality,0,1,1,1,1,1,1,1,0,1,0,0,8,103,Cochrane Database of Systematic Reviews,2013,United Kingdom,5,5,funding,yes,1,0,1,1,20,1,805,9.65,RCTs,Yes,No,yes,8-headings,796,Cochrane Database of Systematic Reviews,2013,,5.939,,,,,,,,,,,,
190,24151011,LOW,10,high_quality,LowRisk_HighQuality,0,1,1,1,1,1,1,1,1,1,0,0,9,27,Cochrane Database of Systematic Reviews,2013,United Kingdom,5,3,funding,yes,1,0,0,0,0,1,94,6.55,RCTs,Yes,No,yes,8-headings,713,Cochrane Database of Systematic Reviews,2013,,5.939,,,,,,,,,,,,
322,23440816,HIGH,11,high_quality,HighRisk_HighQuality,1,0,1,1,1,1,1,1,1,1,0,0,9,43,Cochrane Database of Systematic Reviews,2013,United Kingdom,7,4,funding,yes,1,0,0,19,,2,100,6.64,RCTs,No,No,yes,8-headings,649,Cochrane Database of Systematic Reviews,2013,,5.939,,,,,,,,,,,,
280,16437433,HIGH,10,high_quality,HighRisk_HighQuality,0,1,1,1,0,1,1,1,0,1,0,0,7,86,Cochrane Database of Systematic Reviews,2006,United Kingdom,5,4,funding,yes,1,0,0,1,20,1,55,5.78,RCTs,Yes,NA,yes,8-headings,414,Cochrane Database of Systematic Reviews,2006,,NA,,,,,,,,,,,,
240,21142838,HIGH,8,moderate_quality,HighRisk_HighQuality,1,1,1,0,0,1,0,1,0,1,0,0,6,15,Current Medical Research and Opinion,2011,United Kingdom,3,3,funding,no,0,1,0,3,100,2,18,4.17,RCTs,No,No,no,IMRAD ,317,Current Medical Research and Opinion,2011,5414,2.38,2.229,2.453,0.722,252,4.3,5.7,0.01957,0.698,82.14,NA,66.401,Q1
262,19657180,HIGH,7,moderate_quality,HighRisk_HighQuality,1,1,1,0,0,1,1,1,0,1,0,0,7,70,Dermatology,2009,Switzerland,6,3,funding,no,0,1,0,3,50,2,10,3.32,RCTs,Yes,No,no,IMRAD ,155,Dermatology,2009,4524,2.741,2.305,2.078,0.467,135,8.9,6.5,0.00705,0.491,99.26,NA,73.958,Q2
60,25604924,HIGH,3,low_quality,HighRisk_LowQuality,1,1,1,1,0,1,1,1,0,1,0,0,8,8,Dermatology and Therapy,2015,Germany,3,1,funding,no,0,1,0,0,0,1,18,4.17,RCTs & observational studies,No,No,no,IMRAD ,257,Dermatology and Therapy,2015,1398,1.268,1.215,1.657,0.197,76,6.3,7.1,0.00305,0.505,94.74,0.3474,27.049,Q3
283,12639460,HIGH,4,low_quality,HighRisk_LowQuality,1,1,0,1,0,1,0,1,0,1,0,0,6,74,Dermatology Online Journal,2003,United States,5,1,UNK,no,0,0,0,2,40,1,5,2.32,RCTs,No,No,no,free,191,Dermatology Online Journal,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,27838901,HIGH,8,moderate_quality,HighRisk_HighQuality,1,1,1,1,0,1,1,1,1,1,0,0,9,1,Drugs in R&D,2016,Brazil,4,4,No funding,no,0,0,0,1,25,1,23,4.52,,Yes,No,no,8-headings,333,"Drugs in R&D,",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,,HIGH,6,moderate_quality,HighRisk_HighQuality,0,1,0,1,1,0,0,1,0,1,0,0,5,4,European Journal of Integrative Medicine,2014,Germany,20,8,funding,no,1,0,0,0,0,1,12,3.58,RCTs & Srs,No,No,no,IMRAD ,215,European Journal of Integrative Medicine,2014,266,0.777,0.677,0.84,1.234,77,2.1,7.3,0.00051,0.159,77.92,0.05667,18.75,Q4
155,23983796,HIGH,7,moderate_quality,HighRisk_HighQuality,1,1,1,1,0,1,0,1,1,1,0,0,8,11,Evidence-based Complementary and Alternative Medicine,2013,United States,6,3,funding,no,1,0,1,0,0,2,15,3.91,observational studies,Yes,No,no,free,197,Evidence-based Complementary and Alternative Medicine,2013,4798,2.175,1.495,2.286,0.32,1293,2.1,7,0.00936,0.348,83.76,1.03123,75,Q2
191,22522793,HIGH,8,moderate_quality,HighRisk_HighQuality,1,1,1,0,0,1,0,1,0,1,0,0,6,15,Evidence-Based Medicine,2012,United Kingdom,5,3,UNK,no,0,0,0,0,0,1,6,2.58,RCTs,Yes,No,no,IMRAD ,251,Evidence-Based Medicine,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,26021960,LOW,5,moderate_quality,LowRisk_HighQuality,1,1,0,1,1,1,1,1,1,1,0,0,9,1,Forschende Komplementarmedizin (2006),2015,Switzerland,7,3,funding,no,1,0,0,,NA,2,8,3,RCTs,No,No,no,free,175,Forschende Komplementarmedizin (2006),2015,423,0.551,0.469,0.887,0.375,32,6.4,7.8,0.00066,0.213,84.38,0.07505,2.083,Q4
309,27039969,HIGH,8,moderate_quality,HighRisk_HighQuality,1,1,0,1,0,1,1,1,0,1,0,0,7,13,Gastroenterology,2016,USA,7,6,funding,no,1,0,0,4,57,2,12,3.58,,Yes,No,no,IMRAD ,330,Gastroenterology,2016,67726,18.187,17.419,15.417,4.494,241,8.1,5.9,0.13172,5.674,92.12,15.01,99.367,D1
